   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
      264    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(reshape)
      264    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(size)
       80    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1002(_gcd_import)
4971/4743    0.025    0.000    0.695    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1486    0.009    0.000    0.010    0.000 <frozen importlib._bootstrap>:103(release)
      764    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      764    0.002    0.000    0.030    0.000 <frozen importlib._bootstrap>:147(__enter__)
      764    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1486    0.012    0.000    0.027    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      828    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:176(cb)
      722    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    817/7    0.002    0.000    2.924    0.418 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     5099    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      663    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:342(__init__)
      604    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1234    0.004    0.000    0.043    0.000 <frozen importlib._bootstrap>:376(cached)
     5010    0.011    0.000    0.015    0.000 <frozen importlib._bootstrap>:389(parent)
      651    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      651    0.011    0.000    0.072    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  651/648    0.004    0.000    0.184    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      828    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap>:58(__init__)
    651/6    0.011    0.000    2.935    0.489 <frozen importlib._bootstrap>:650(_load_unlocked)
      663    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:725(find_spec)
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:746(create_module)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
     1486    0.012    0.000    0.013    0.000 <frozen importlib._bootstrap>:78(acquire)
      642    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:800(find_spec)
     1947    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:863(__enter__)
     1947    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:867(__exit__)
      663    0.015    0.000    0.579    0.001 <frozen importlib._bootstrap>:890(_find_spec)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
    684/6    0.010    0.000    2.946    0.491 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    764/6    0.018    0.000    2.947    0.491 <frozen importlib._bootstrap>:986(_find_and_load)
      604    0.003    0.000    0.132    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       67    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
       26    0.000    0.000    0.103    0.004 <frozen importlib._bootstrap_external>:1099(create_module)
    26/21    0.000    0.000    0.040    0.002 <frozen importlib._bootstrap_external>:1107(exec_module)
       67    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
     1027    0.003    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      642    0.009    0.000    0.550    0.001 <frozen importlib._bootstrap_external>:1302(_get_spec)
      642    0.003    0.000    0.553    0.001 <frozen importlib._bootstrap_external>:1334(find_spec)
       67    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      536    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      630    0.005    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
      939    0.033    0.000    0.502    0.001 <frozen importlib._bootstrap_external>:1431(find_spec)
       67    0.004    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       67    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
       67    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
     1208    0.016    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      939    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      630    0.006    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      604    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      604    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
     1812    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      604    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      604    0.007    0.000    0.274    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     4672    0.020    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      630    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     4672    0.012    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     1208    0.015    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      604    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    604/5    0.008    0.000    2.934    0.587 <frozen importlib._bootstrap_external>:777(exec_module)
     2445    0.006    0.000    0.533    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      604    0.026    0.000    0.746    0.001 <frozen importlib._bootstrap_external>:849(get_code)
      835    0.004    0.000    0.171    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      604    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      604    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      604    0.042    0.000    0.272    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      768    0.002    0.000    0.161    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       67    0.001    0.000    0.018    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
     3168    0.021    0.000    0.074    0.000 <string>:2(__div__)
     1584    0.010    0.000    0.016    0.000 <string>:2(__eq__)
     1320    0.010    0.000    0.023    0.000 <string>:2(__mul__)
     2938    0.024    0.000    0.071    0.000 <string>:2(__pow__)
        1    0.000    0.000    0.001    0.001 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       67    0.009    0.000    8.286    0.124 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
      112    0.001    0.000    0.001    0.000 __init__.py:101(_cnfmerge)
        1    0.000    0.000    0.000    0.000 __init__.py:1038(StreamHandler)
       80    0.000    0.000    0.005    0.000 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1190(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1196(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1214(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1220(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1256(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1261(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1272(getLogger)
       19    0.000    0.000    0.164    0.009 __init__.py:1303(update)
        2    0.000    0.000    0.000    0.000 __init__.py:1323(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(Logger)
        3    0.000    0.000    0.000    0.000 __init__.py:1392(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
      111    0.002    0.000    0.004    0.000 __init__.py:1459(_options)
        1    0.000    0.000    0.000    0.000 __init__.py:147(EventType)
        1    0.000    0.000    0.000    0.000 __init__.py:1504(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
        1    0.000    0.000    0.010    0.010 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1731(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1737(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1868(CallWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:1872(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1890(XView)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1911(YView)
        1    0.000    0.000    0.000    0.000 __init__.py:192(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:1932(Wm)
        1    0.000    0.000    0.000    0.000 __init__.py:1948(wm_attributes)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
        2    0.000    0.000    0.000    0.000 __init__.py:2006(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:209(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:213(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:2135(NullHandler)
